,Suburb,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
509,Rozelle,Café,Pub,Vegetarian / Vegan Restaurant,Bus Station,Bakery,Pizza Place,Flea Market,Electronics Store,Women's Store,Grocery Store
510,Ruse,Pub,Airport Terminal,Australian Restaurant,Bakery,Liquor Store,Grocery Store,Convenience Store,Flower Shop,Falafel Restaurant,Eastern European Restaurant
511,Rushcutters Bay,Café,Park,Bar,Liquor Store,Farmers Market,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
512,Russell Lea,Thai Restaurant,Pizza Place,Snack Place,Dessert Shop,Zoo,Farm,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
513,Rydalmere,Supermarket,Australian Restaurant,Bus Station,Asian Restaurant,Climbing Gym,Thai Restaurant,Zoo,Egyptian Restaurant,Electronics Store,Event Service
514,Ryde,Café,Supermarket,Dessert Shop,Pizza Place,Department Store,Park,Electronics Store,Fried Chicken Joint,Coffee Shop,Korean Restaurant
515,Sackville,Business Service,Farm,Zoo,Fast Food Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
516,Sackville North,Park,Zoo,Farmers Market,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
517,Sandringham,Café,Australian Restaurant,Beach,Burger Joint,Fast Food Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
518,Sans Souci,Café,Pizza Place,Fast Food Restaurant,Liquor Store,Supermarket,Convenience Store,French Restaurant,Seafood Restaurant,Chinese Restaurant,Eastern European Restaurant
519,Scheyville,Park,Zoo,Farmers Market,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
520,Schofields,Café,Supermarket,Construction & Landscaping,Soccer Field,Train Station,Farmers Market,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
521,Scotland Island,Boat or Ferry,Business Service,Playground,National Park,Pier,Harbor / Marina,Farmers Market,Egyptian Restaurant,Electronics Store,Event Service
522,Seaforth,Bus Stop,Bakery,Zoo,Food Service,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
523,Sefton,Train Station,Athletics & Sports,Soccer Field,Middle Eastern Restaurant,Grocery Store,Zoo,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
524,Seven Hills,Platform,Indian Restaurant,Italian Restaurant,Sports Bar,Soccer Field,Fast Food Restaurant,Buffet,Café,Convenience Store,Cricket Ground
525,Shalvey,Gas Station,Zoo,Fast Food Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
526,Silverwater,Café,Furniture / Home Store,Electronics Store,Fast Food Restaurant,Sandwich Place,Fishing Spot,Fabric Shop,Dumpling Restaurant,Dutch Restaurant,Eastern European Restaurant
527,Smeaton Grange,Gas Station,Gym,Racetrack,Gym / Fitness Center,Zoo,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
528,Smithfield,Fast Food Restaurant,Portuguese Restaurant,Middle Eastern Restaurant,Dutch Restaurant,Park,Supermarket,Sandwich Place,Turkish Restaurant,Italian Restaurant,Sports Bar
529,South Coogee ,Café,Park,Bakery,Trail,Dumpling Restaurant,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
530,South Hurstville,Pub,Thai Restaurant,Grocery Store,Fried Chicken Joint,Food & Drink Shop,Farmers Market,Falafel Restaurant,Electronics Store,Pizza Place,Convenience Store
531,South Maroota,Racetrack,Zoo,Farmers Market,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
532,South Penrith,Pub,Dog Run,Coffee Shop,Grocery Store,Farm,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
533,South Turramurra,Café,Athletics & Sports,Soccer Field,Bakery,Baseball Field,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
534,South Wentworthville,Fast Food Restaurant,Supermarket,Steakhouse,Paper / Office Supplies Store,Gym,Chinese Restaurant,Train Station,Shopping Mall,Liquor Store,Hotel
535,South Windsor,Pub,Basketball Stadium,Food & Drink Shop,Food,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
536,Spring Farm,Supermarket,Park,Pizza Place,Shopping Mall,Zoo,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
537,St Andrews,Chinese Restaurant,Convenience Store,Pizza Place,Shopping Mall,Zoo,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
538,St Clair,Fast Food Restaurant,Pizza Place,Shopping Mall,Café,Basketball Court,Supermarket,Chinese Restaurant,Sandwich Place,Convenience Store,Fish & Chips Shop
539,St Helens Park,Baseball Field,Australian Restaurant,Rugby Pitch,Gas Station,Zoo,Farmers Market,Egyptian Restaurant,Electronics Store,Event Service,Event Space
540,St Ives,Pub,Construction & Landscaping,Park,Trail,Shopping Mall,Zoo,Farm,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
541,St Ives Chase,Home Service,Trail,Zoo,Farmers Market,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
542,St Johns Park,Event Service,Playground,Bakery,Bar,Zoo,Fast Food Restaurant,Egyptian Restaurant,Electronics Store,Event Space,Fabric Shop
543,St Leonards,Café,Coffee Shop,Gym,Chinese Restaurant,Vietnamese Restaurant,Restaurant,Electronics Store,Thai Restaurant,Lebanese Restaurant,Sushi Restaurant
544,St Marys,Pool,Pizza Place,Gym,Supermarket,Steakhouse,Sandwich Place,Fast Food Restaurant,Shopping Mall,Coffee Shop,Pub
545,St Peters,Fast Food Restaurant,Pub,Brewery,Recreation Center,Steakhouse,Hotel,Fishing Spot,Falafel Restaurant,Dutch Restaurant,Eastern European Restaurant
546,Stanhope Gardens,Park,Zoo,Farmers Market,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
547,Stanmore,Café,Restaurant,Park,Pub,Cosmetics Shop,Costume Shop,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
548,Strathfield,Park,Bookstore,Fast Food Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
549,Strathfield South,Park,Soccer Field,Home Service,Food & Drink Shop,Fishing Store,Falafel Restaurant,Dumpling Restaurant,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant
550,Summer Hill,Café,Coffee Shop,Pizza Place,Australian Restaurant,Burger Joint,Bar,Thai Restaurant,Grocery Store,Park,Japanese Restaurant
551,Surry Hills,Café,Coffee Shop,Pub,Thai Restaurant,Vietnamese Restaurant,Pizza Place,Japanese Restaurant,Convenience Store,Sandwich Place,Yoga Studio
552,Sutherland,Café,Grocery Store,Thai Restaurant,Pub,Farmers Market,Thrift / Vintage Store,Greek Restaurant,Sushi Restaurant,Gastropub,Supermarket
553,Sydenham,Brewery,Café,Coffee Shop,Beer Store,Fast Food Restaurant,Bar,Gym,Fish Market,Deli / Bodega,Dog Run
554,Sydney Olympic Park,Café,Sushi Restaurant,Thai Restaurant,Indian Restaurant,Italian Restaurant,Pizza Place,Pharmacy,Outdoors & Recreation,Scenic Lookout,Mexican Restaurant
555,Sylvania,Supermarket,Department Store,Bowling Alley,Fish Market,Zoo,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
556,Sylvania Waters,Burger Joint,Fish & Chips Shop,Zoo,Fast Food Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
557,Tamarama,Park,Beach,Scenic Lookout,Café,Hostel,Australian Restaurant,Coffee Shop,Surf Spot,Falafel Restaurant,Eastern European Restaurant
558,Taren Point,Café,Baby Store,Flower Shop,Paper / Office Supplies Store,Big Box Store,Pier,Home Service,Athletics & Sports,Bus Station,Farm
559,Telopea,Grocery Store,Library,Bakery,Train Station,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
560,Tempe,Pub,Thrift / Vintage Store,Sporting Goods Shop,Fast Food Restaurant,Furniture / Home Store,Gas Station,Bus Station,Golf Course,Café,Coffee Shop
561,Tennyson Point,Cafeteria,Fish & Chips Shop,Gift Shop,Park,Flea Market,Fishing Store,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
562,Terrey Hills,Café,Golf Course,Indian Restaurant,Park,Fast Food Restaurant,Noodle House,Farmers Market,Shopping Mall,Furniture / Home Store,Fabric Shop
563,The Ponds,Café,Coffee Shop,Athletics & Sports,Grocery Store,Shopping Mall,Thai Restaurant,Fish Market,Fishing Spot,Dumpling Restaurant,Dutch Restaurant
564,The Rocks,Café,Australian Restaurant,Pub,Coffee Shop,Museum,Japanese Restaurant,Dessert Shop,Cocktail Bar,Bakery,History Museum
565,Toongabbie,Platform,Indian Restaurant,Gym / Fitness Center,Café,Shopping Mall,Fast Food Restaurant,Bar,Bakery,Convenience Store,Home Service
566,Turramurra,Café,Bakery,Pizza Place,Liquor Store,Indian Restaurant,Grocery Store,Pharmacy,Persian Restaurant,Chinese Restaurant,Seafood Restaurant
567,Turrella,Park,Bus Station,Platform,Train Station,Zoo,Farm,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
568,Ultimo,Café,Pool,Coffee Shop,Fast Food Restaurant,Electronics Store,Dumpling Restaurant,Lounge,Park,Australian Restaurant,Gym / Fitness Center
569,Varroville,Soccer Field,Zoo,Fast Food Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
570,Vaucluse,Park,Beach,Lighthouse,Bakery,Sushi Restaurant,History Museum,Historic Site,Café,Bay,Farm
571,Villawood,Lebanese Restaurant,Go Kart Track,Platform,Pizza Place,Train Station,Zoo,Farm,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
572,Vineyard,Motel,Pub,Pet Store,Golf Course,Moving Target,Food,Flea Market,Fishing Store,Eastern European Restaurant,Egyptian Restaurant
573,Voyager Point,Lake,Zoo,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
574,Wahroonga,Café,Coffee Shop,Park,Indian Restaurant,Train Station,Convenience Store,Fried Chicken Joint,Burger Joint,Bakery,Sushi Restaurant
575,Waitara,Electronics Store,Gym,Indian Restaurant,Train Station,Big Box Store,Shopping Mall,Fast Food Restaurant,Sports Bar,Sports Club,Furniture / Home Store
576,Wakeley,Grocery Store,Convenience Store,Burger Joint,Fast Food Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
577,Wallacia,Gas Station,Rest Area,Campground,Golf Course,Hotel Bar,Austrian Restaurant,Lake,Burger Joint,Health & Beauty Service,Egyptian Restaurant
578,Wareemba,Italian Restaurant,Grocery Store,Pizza Place,Liquor Store,Café,Burger Joint,Hobby Shop,Thai Restaurant,Fish & Chips Shop,Filipino Restaurant
579,Warrawee,Beach,Train Station,Zoo,Fast Food Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
580,Warriewood,Flower Shop,Zoo,Fast Food Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
581,Warwick Farm,Football Stadium,Platform,Kebab Restaurant,Train Station,Zoo,Farm,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
582,Waterfall,Platform,Trail,Fast Food Restaurant,Train Station,Zoo,Farm,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
583,Waterloo,Café,Thai Restaurant,Clothing Store,Rugby Pitch,Auto Workshop,Bar,Gym,Park,Gourmet Shop,Furniture / Home Store
584,Watsons Bay,Scenic Lookout,Beach,Seafood Restaurant,Café,Park,Trail,Beer Garden,Surf Spot,Bus Station,Bay
585,Wattle Grove,Coffee Shop,Shopping Mall,Supermarket,Paper / Office Supplies Store,Pizza Place,Park,Bakery,Bar,Fast Food Restaurant,Egyptian Restaurant
586,Waverley,Pub,Convenience Store,Café,Vietnamese Restaurant,Pizza Place,Burger Joint,Pedestrian Plaza,Restaurant,Zoo,Fabric Shop
587,Waverton,Café,Platform,Indian Restaurant,Coffee Shop,Bowling Green,Thai Restaurant,Park,Train Station,Grocery Store,Wine Shop
588,Wedderburn,Park,Campground,Health & Beauty Service,Trail,Dumpling Restaurant,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
589,Wentworth Point,Café,Shopping Mall,Gym / Fitness Center,Korean Restaurant,Supermarket,Thai Restaurant,Grocery Store,Filipino Restaurant,Field,Dry Cleaner
590,Wentworthville,Indian Restaurant,Thai Restaurant,Café,Sandwich Place,Gourmet Shop,Pizza Place,Platform,Fish & Chips Shop,Grocery Store,Bakery
591,Werrington,Platform,Soccer Field,Asian Restaurant,Train Station,Zoo,Farm,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
592,Werrington County,Grocery Store,Fast Food Restaurant,Convenience Store,Shopping Mall,Farmers Market,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
593,Werrington Downs,Park,Zoo,Farmers Market,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
594,West Hoxton,Park,Amphitheater,Fast Food Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
595,West Killara,Park,Train Station,Convenience Store,Hotel Bar,Asian Restaurant,Café,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
596,West Lindfield,Yoga Studio,Golf Course,Business Service,Park,Flea Market,Fishing Store,Eastern European Restaurant,Food,Egyptian Restaurant,Electronics Store
597,West Pennant Hills,Pizza Place,Bus Station,Café,Park,Supermarket,Pharmacy,Bakery,Trail,Metro Station,Zoo
598,West Pymble,Italian Restaurant,Liquor Store,Café,Brewery,Bakery,Shopping Mall,Basketball Court,Grocery Store,Farm,Egyptian Restaurant
599,West Ryde,Pizza Place,Japanese Restaurant,Supermarket,Thai Restaurant,Gym,Asian Restaurant,Korean Restaurant,Liquor Store,Shopping Mall,Miscellaneous Shop
600,Westmead,Café,Sandwich Place,Park,Bus Stop,Coffee Shop,Fast Food Restaurant,Falafel Restaurant,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant
601,Wetherill Park,Café,Thai Restaurant,Coffee Shop,Fast Food Restaurant,Mexican Restaurant,Burger Joint,Fish & Chips Shop,Pizza Place,Home Service,Building
602,Whalan,Pharmacy,Convenience Store,Automotive Shop,Business Service,Zoo,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
603,Whale Beach,Sandwich Place,Beach,Restaurant,Café,Farm,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
604,Wheeler Heights,Sporting Goods Shop,Antique Shop,Zoo,Fast Food Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
605,Wilberforce,Museum,Fast Food Restaurant,Construction & Landscaping,Food,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
606,Wiley Park,Café,Middle Eastern Restaurant,Train Station,Paper / Office Supplies Store,Fast Food Restaurant,Fishing Store,Fishing Spot,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant
607,Willmot,Convenience Store,Zoo,Fast Food Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
608,Willoughby,Café,Pizza Place,Bus Station,Japanese Restaurant,Thai Restaurant,Gym / Fitness Center,Furniture / Home Store,Wine Shop,Pub,Fish & Chips Shop
609,Windsor,Park,Café,Thai Restaurant,Shopping Mall,Fried Chicken Joint,Burger Joint,Seafood Restaurant,Supermarket,Bakery,Sandwich Place
610,Windsor Downs,Pool,Zoo,Farmers Market,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
611,Winston Hills,Food & Drink Shop,Soccer Field,Park,Bus Station,Health & Beauty Service,Italian Restaurant,Shopping Mall,Café,Filipino Restaurant,Dutch Restaurant
612,Wisemans Ferry,Boat or Ferry,Park,River,Bowling Green,Pub,Costume Shop,Fast Food Restaurant,Egyptian Restaurant,Electronics Store,Event Service
613,Wolli Creek,Café,Gym,Park,Bar,Train Station,Falafel Restaurant,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
614,Wollstonecraft,Park,Zoo,Farmers Market,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
615,Woodbine,Fast Food Restaurant,Hotel,Steakhouse,Pizza Place,Restaurant,Government Building,Sporting Goods Shop,Fishing Spot,Falafel Restaurant,Dumpling Restaurant
616,Woodcroft,Park,Zoo,Farmers Market,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
617,Woodpark,Convenience Store,Bus Station,Bakery,Café,Coworking Space,Creperie,Event Service,Costume Shop,Event Space,Fabric Shop
618,Woollahra,Park,Australian Restaurant,Seafood Restaurant,Italian Restaurant,Café,Falafel Restaurant,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
619,Woolloomooloo,Hotel,Pub,Café,Italian Restaurant,Coffee Shop,Australian Restaurant,Bagel Shop,Bar,Supermarket,Shopping Mall
620,Woolooware,Paintball Field,Sports Bar,Bakery,Park,Gym,Train Station,Stadium,Chinese Restaurant,Golf Course,Convenience Store
621,Woolwich,Harbor / Marina,Park,Pier,Italian Restaurant,Australian Restaurant,Bar,Café,Fish & Chips Shop,Filipino Restaurant,Dutch Restaurant
622,Woronora,Print Shop,Business Service,Food Court,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
623,Woronora Heights,Grocery Store,Soccer Field,Arcade,Farmers Market,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
624,Yagoona,Convenience Store,Train Station,Fast Food Restaurant,Shopping Mall,Men's Store,Burger Joint,Bakery,Café,Park,Grocery Store
625,Yarramundi,Food Service,Park,Farmers Market,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
626,Yarrawarrah,Pharmacy,Pizza Place,Sushi Restaurant,Chinese Restaurant,Farmers Market,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
627,Yennora,Platform,Surf Spot,Train Station,Zoo,Farmers Market,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
628,Yowie Bay,Brewery,Zoo,Field,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant,Farm
629,Zetland,Café,Park,Italian Restaurant,Japanese Restaurant,Thai Restaurant,Bus Stop,Supermarket,Falafel Restaurant,Dutch Restaurant,Eastern European Restaurant
